id,requester_id,created_at,description
35975,396228406032,"2021-08-11T14:44:33Z","Olá! Recentemente o código de ética foi alterado e a Unidade precisa ser revista pois tivemos muitas mudanças importantes na Unidade. \nUm dos pontos mais críticos é a necessidade de um novo capítulo de livro. "
38060,396228136292,"2021-09-17T22:15:12Z","A informação do primeiro parágrafo está inconsistente.\nO sistema de equações apresentado não é linear\n"
38957,411776986132,"2021-10-04T19:34:21Z","Verificar exemplo do livro. Página 11.\nNa imagem anexa destaquei dois itens:\n- Primeira equação está apresentada em duplicidade e no local incorreto.\n- Segunda equação está incorreta."
39260,1266328174669,"2021-10-09T02:53:58Z","Exercício 5. A efedrina é utilizada para tratar a congestão nasal devido a qual das seguintes opções? \nA. É um agonista α2-adrenérgico. \nB. É um agonista β2-adrenérgico. \nC. Inibe a síntese de leucotrienos. \nD. Inibe a produção de IgE. \nE. É um agonista α1-adrenérgico. \nA Efedrina é um agonista adrenérgico aspecifico, age em todos os tipos de receptores adrenérgicos alfa 1 e 2 e beta 1 e 2. Por causa da sua especificidade na ação adrenérgica e de ação dopante foi substituído com agonistas seletivos beta 2 (Salbutamol) nas terapias da asma bronquial e com agonistas seletivos alfa 1 (Oximetazolina, Nafazolina) nas rinites alergicas. \nA resposta > E. É um agonista α1-adrenérgico. é inexata, parcial e cria confusão."
39292,411532699732,"2021-10-11T21:01:08Z","Prezados, solicito por gentileza, revisão dos exercícios 2, 3, 4 desta UA. Pois de fato não há conteúdo sobre os assuntos abordados no material disponível.\nDesde já agradeço vossa atenção!\nAtt., Fabiana Neves."
39296,411532699732,"2021-10-11T21:12:31Z","Prezados, solicito por gentileza, revisão dos exercícios 1, 3 e 5 desta UA. Os conteúdos abordados nestas questões não foram encontrados no material disponibilizado na unidade.\nDesde já agradeço a atenção!\nAtt., Fabiana Neves.\n"
39300,417901979532,"2021-10-12T00:42:00Z","Uma aluna fez os seguintes apontamentos:\nQuestão 1: A lei 12.305/2010 não fica claro obrigatoriedade de embalagens de produtos metálicos.\n\nQuestão 3: Faltou abordar mais sobre os ciclo de vida dos produtos, pois na questão é mencionado o ponto de declínio do produto porém não foi mencionado na material disponibilizado tive que pesquisar em outras fontes e errei porque obvio a interpretação foi diferente.\n\nQuestão 4: Se formos considerar o que está no material\n\nA logística reversa faz parte do princípio de que a responsabilidade do produto é responsabilidade de quem produz. Sendo assim, o gerenciamento do ciclo de vida final dos produtos gerados é de responsabilidade do fabricante, que deve buscar reduzir o impacto ambiental que eles causam. Nesse sentido, a logística reversa tem como objetivo tornar possível o retorno de bens ou de seus materiais constituintes ao ciclo produtivo observando o valor econômico, de serviço, ecológico, jurídico e de localização.\n\nSeria Pós-vendas e pós consumo, mas na resposta está o inverso então não compreendi muito também essa parte.\n\nAguardamos o seu retorno.\n\nAtenciosamente,\n\nProf. Graziela"
39323,415889272211,"2021-10-13T12:20:29Z","Bom dia.\nPoderia, por favor, realizar a revisão do infográfico?\nApresenta o epitélio glandular exócrino simples SEM DUCTO EXCRETOR.  Entendo que todo sistema glandular exócrino possui um ducto excretor!\n\nObrigada "
39362,415598236971,"2021-10-13T14:19:52Z","Prezados,\n\nQuando fazer referência ao auxílio natalidade pelo CRAS. Creio que deverá ser acompanhada da fundamentação legal, considerando a revogação ocorrida em 1993 (Benefícios eventuais).\n\nVejamos,\n\nReferente ao art. 40 da lei LEI Nº 8.742, DE 7 DE DEZEMBRO DE 1993, faz referência no Âmbito da Previdência Social a extinção do auxílio natalidade. Logo, temos aqui\numa competência voltada ao Município (CRAS) \n\nArt. 15. Compete aos Municípios:\n[...]\nII - efetuar o pagamento dos auxílios natalidade e funeral;\n\n[...] \n\nArt. 22.  Entendem-se por benefícios eventuais as provisões suplementares e provisórias que integram organicamente as garantias do Suas e são prestadas aos cidadãos e às famílias em virtude de nascimento, morte, situações de vulnerabilidade temporária e de calamidade pública.                   (Redação dada pela Lei nº 12.435, de 2011)\n§ 1o  A concessão e o valor dos benefícios de que trata este artigo serão definidos pelos Estados, Distrito Federal e Municípios e previstos nas respectivas leis orçamentárias anuais, com base em critérios e prazos definidos pelos respectivos Conselhos de Assistência Social.                   (Redação dada pela Lei nº 12.435, de 2011)\n\nPor fim, benefício Eventual, modalidade auxílio natalidade.\n\nAtenciosamente,\n"
39390,1266243431449,"2021-10-13T16:35:40Z","Atualização de conteúdo, página 3 ( Já em 2013, com vistas\nà Copa do Mundo, que aconteceria em 2014, a tecnologia 4G passa a ser\nimplantada nas capitais. ) Sugiro incluir informações sobre o leilão 5G já em andamento."
